Ã¯Â»Â¿PlantID,PlantName,Latitude,Longitude,Capacity,ProductionVolume,ProductionEfficiency,MarketShare,SalesRevenue,ComplianceStatus,QAMetrics,DefectRate,ProductSpecification,researchProjects,CSscore,revenue,costOfProduction,ProfitMargin,CarbonEmmision,WasteDisposalMetrics, EnergyConsumption,Year,PlantID,ResearchProjects,EnergyConsumption
11.0,Ganges Petrochemicals,-8.1448805,91.0204,58.51,848.74,41.17,18.88,1261.64,False,9.0,80.0,A,5.0,82.0,66116.04,617622.49,-834.1492473,447.54,13.65,970.03,1917.0,,,
12.0,BharatChem Corporation,18.2480842,92.0855,562.77,482.24,90.56,17.1,9925.58,True,9.0,13.0,B,49.0,37.0,548512.68,973866.43,-77.54674878,487.09,116.06,781.67,1944.0,,,
13.0,Himalaya Petro Products,48.7192002,79.9559,769.2,656.84,67.11,25.13,965.15,True,8.0,63.0,B,67.0,35.0,274702.01,73553.86,73.22412748,169.27,228.47,771.48,1920.0,,,
14.0,Ganges Petrochemicals,26.2174802,72.099,4.18,840.88,97.21,73.63,6306.41,True,4.0,33.0,B,27.0,0.0,491895.79,2835.4,99.4235771,602.05,983.02,120.37,1987.0,,,
15.0,IndianPoly Industries,13.573,77.6407,48.12,310.37,8.09,57.93,2278.8,True,2.0,76.0,D,34.0,82.0,85839.67,790101.22,-820.4383241,450.64,734.46,853.45,1917.0,,,
16.0,Petrochem India,43.1283145,91.3503,878.25,605.38,57.73,30.49,9307.28,True,4.0,69.0,C,8.0,66.0,893715.19,356853.24,60.07080958,409.98,526.91,71.1,1948.0,,,
17.0,IndianPoly Industries,59.4411274,75.2564,421.92,641.62,43.43,52.61,5851.9,True,0.0,61.0,C,39.0,64.0,744430.97,194973.74,73.80902356,174.49,830.53,395.85,1976.0,,,
18.0,Ganges Petrochemicals,53.5279846,85.2874,694.57,395.64,6.05,19.6,4769.57,True,0.0,54.0,B,39.0,78.0,467888.21,63088.78,86.51627063,439.37,190.77,983.73,1984.0,,,
19.0,Ganges Petrochemicals,37.509395,91.5495,827.94,179.02,95.62,12.08,7698.48,False,6.0,31.0,D,64.0,12.0,285561.17,465111.5,-62.87631123,773.63,635.69,373.24,1956.0,,,
20.0,Petrochem India,36.6484118,76.9745,655.23,513.1,50.86,43.73,1803.25,True,8.0,76.0,D,13.0,93.0,139777.92,3645.11,97.39221331,901.87,190.92,379.69,1917.0,,,
21.0,BharatChem Corporation,48.5347071,81.9076,419.16,351.73,37.12,99.87,879.61,False,2.0,19.0,D,41.0,3.0,456889.75,972205.68,-112.7878071,806.2,277.46,542.87,2016.0,,,
22.0,Petrochem India,-7.2139764,72.2877,940.26,983.13,80.07,78.7,8507.34,True,6.0,40.0,C,6.0,51.0,736822.32,968869.0,-31.49289506,826.46,862.0,123.31,2015.0,,,
23.0,Ganges Petrochemicals,-6.6045148,85.7887,105.9,696.99,12.85,89.4,3781.33,False,6.0,82.0,C,83.0,46.0,73413.88,415061.11,-465.3714393,153.89,55.68,516.31,1985.0,,,
24.0,BharatChem Corporation,14.8881276,86.8004,510.54,604.95,27.23,67.45,7420.57,True,7.0,72.0,F,50.0,93.0,242657.57,672139.08,-176.9907735,724.57,953.15,842.19,1955.0,,,
25.0,IndianPoly Industries,53.5760481,86.4209,603.44,83.32,63.03,67.37,5060.11,False,3.0,44.0,A,36.0,30.0,690396.06,821096.66,-18.9312494,705.99,779.73,490.3,1937.0,,,
26.0,Himalaya Petro Products,42.1102695,78.6084,456.19,368.4,53.72,85.08,1824.39,True,1.0,16.0,C,24.0,40.0,724578.4,872020.91,-20.34873107,718.9,788.44,14.5,1908.0,,,
27.0,Himalaya Petro Products,-13.1638737,95.3827,306.84,642.64,53.27,31.56,9764.46,False,0.0,54.0,B,73.0,85.0,393405.32,320586.76,18.50980561,638.82,371.06,554.49,1966.0,,,
28.0,BharatChem Corporation,29.330041,68.6521,889.27,349.37,78.42,86.33,5295.73,True,3.0,2.0,A,43.0,54.0,729159.36,692886.84,4.974566877,981.78,323.01,401.45,1950.0,,,
29.0,Himalaya Petro Products,55.8547803,81.2335,259.02,986.97,10.91,93.71,8991.21,False,5.0,86.0,C,50.0,66.0,672212.14,50904.54,92.42731022,230.93,428.42,684.63,1920.0,,,
30.0,Himalaya Petro Products,9.3466822,71.941,962.06,394.16,31.71,31.08,5044.89,True,8.0,88.0,A,33.0,31.0,390401.62,379097.6,2.895484911,384.15,990.67,434.97,1987.0,,,
31.0,BharatChem Corporation,12.225759,83.9289,814.76,4.58,41.52,51.76,5566.1,True,8.0,100.0,F,33.0,78.0,183683.28,428576.36,-133.3235556,272.71,268.05,517.73,2017.0,,,
32.0,BharatChem Corporation,16.7909044,80.2956,401.12,205.53,61.24,39.71,8552.67,True,10.0,26.0,A,40.0,42.0,987773.2,103068.35,89.5655855,589.6,987.29,795.54,1928.0,,,
33.0,Ganges Petrochemicals,-37.0716565,96.4903,275.9,262.12,67.59,18.47,999.58,True,7.0,34.0,D,45.0,52.0,560246.87,533408.39,4.790473885,360.98,229.61,281.4,1931.0,,,
34.0,Ganges Petrochemicals,57.2331599,80.2319,759.89,397.26,81.14,30.91,5364.1,False,1.0,80.0,B,97.0,98.0,988607.67,980738.31,0.796004344,967.8,286.51,71.56,1925.0,,,
35.0,IndianPoly Industries,-11.7283752,69.4537,344.94,801.67,2.28,32.2,1641.3,False,10.0,68.0,F,29.0,91.0,851397.4,521580.53,38.73829894,809.83,169.48,250.36,1991.0,,,
36.0,Petrochem India,33.5731104,69.7139,178.08,93.31,31.1,76.04,6549.8,False,10.0,17.0,A,37.0,32.0,870806.28,750613.26,13.80249807,971.21,171.66,649.09,1964.0,,,
37.0,IndianPoly Industries,59.4641209,83.1538,24.27,726.78,95.48,19.33,9108.76,False,8.0,3.0,B,2.0,86.0,340894.55,552028.8,-61.93535508,560.38,463.73,593.59,2016.0,,,
38.0,Himalaya Petro Products,9.899259,79.9041,192.65,392.97,4.6,27.61,1487.6,True,4.0,98.0,C,20.0,77.0,428732.73,780823.01,-82.12348985,469.19,477.77,160.64,1965.0,,,
39.0,IndianPoly Industries,-24.5082407,85.9313,121.78,641.51,70.98,46.34,8989.86,False,8.0,88.0,B,47.0,35.0,529079.34,482310.65,8.839636414,640.13,579.91,925.87,1953.0,,,
40.0,BharatChem Corporation,34.878483,77.9229,732.82,391.21,5.26,10.33,1316.73,True,6.0,16.0,F,58.0,39.0,372215.63,898482.51,-141.387636,468.09,3.56,775.08,1930.0,,,
41.0,Ganges Petrochemicals,59.1499143,71.4125,17.39,344.56,20.24,32.74,8507.01,False,5.0,37.0,F,18.0,24.0,743325.4,215909.37,70.95358641,549.77,245.0,661.84,1979.0,,,
42.0,Himalaya Petro Products,63.8105554,77.5953,341.46,289.44,83.74,22.29,7961.35,True,1.0,7.0,A,96.0,12.0,426000.78,920200.75,-116.0091702,279.35,171.91,274.09,2012.0,,,
43.0,Petrochem India,34.1205182,80.006,995.06,686.66,16.55,97.8,6415.7,False,2.0,17.0,F,43.0,86.0,898349.98,574524.29,36.04671867,22.36,12.35,238.09,1984.0,,,
44.0,Himalaya Petro Products,21.1881873,73.2139,884.9,759.5,95.11,9.69,2369.07,True,8.0,32.0,A,33.0,63.0,449989.75,340118.48,24.41639393,273.81,190.66,790.18,1911.0,,,
45.0,Himalaya Petro Products,49.5054982,77.5426,627.46,243.4,51.49,19.83,2483.28,False,2.0,10.0,B,97.0,15.0,593321.65,253078.67,57.34545166,140.53,271.85,219.1,1941.0,,,
46.0,Petrochem India,21.2067429,75.4223,303.12,327.49,92.49,89.49,8797.36,True,10.0,9.0,C,41.0,94.0,506781.09,861891.17,-70.07169111,631.3,305.56,924.36,1904.0,,,
47.0,Petrochem India,30.291745,71.0149,237.55,714.55,77.6,6.03,4966.55,False,9.0,79.0,A,6.0,72.0,929876.8,680103.97,26.86085189,906.57,199.72,296.51,1985.0,,,
48.0,IndianPoly Industries,15.8874847,77.076,553.94,447.61,31.95,89.02,4212.78,True,0.0,89.0,D,51.0,86.0,113372.74,366873.58,-223.5994649,975.71,803.67,309.28,1939.0,,,
49.0,BharatChem Corporation,-20.1060273,80.5382,38.79,931.86,89.97,81.8,5781.37,True,4.0,26.0,F,47.0,94.0,717110.04,888834.39,-23.94672232,156.23,468.88,781.14,1909.0,,,
50.0,Himalaya Petro Products,22.6875359,79.8782,776.43,740.91,79.01,87.05,8381.39,False,6.0,57.0,B,80.0,22.0,153681.26,367020.07,-138.8190141,62.38,304.92,871.27,1996.0,,,
51.0,Ganges Petrochemicals,-18.1661375,81.3781,735.01,769.57,71.78,37.68,4864.71,True,5.0,68.0,F,61.0,69.0,964293.23,458070.03,52.49681158,90.3,82.22,634.47,2020.0,,,
52.0,Ganges Petrochemicals,-13.28918,81.3923,608.38,595.39,36.13,52.83,8211.53,True,7.0,98.0,C,0.0,26.0,304480.83,715379.4,-134.950555,459.8,101.53,144.62,1957.0,,,
53.0,Petrochem India,60.1941783,96.9092,60.22,546.63,61.34,39.2,2977.53,True,0.0,36.0,B,88.0,20.0,376500.58,872874.02,-131.838692,732.53,546.38,193.41,2007.0,,,
54.0,Petrochem India,44.2837305,68.2943,741.45,798.47,40.75,52.01,7687.05,True,9.0,95.0,B,49.0,83.0,189873.77,179781.53,5.315236538,937.81,918.46,675.23,2017.0,,,
55.0,Ganges Petrochemicals,-33.5215632,95.0289,941.67,391.4,61.26,40.14,2424.02,True,9.0,32.0,D,33.0,35.0,341827.99,247562.9,27.57676163,199.32,66.86,59.98,1998.0,,,
56.0,Ganges Petrochemicals,55.8024235,76.279,956.05,251.89,47.41,95.62,5144.79,True,0.0,42.0,C,13.0,97.0,335924.89,179100.75,46.68428707,928.93,43.22,685.32,1948.0,,,
57.0,Himalaya Petro Products,39.525207,82.5836,136.27,693.6,88.06,90.52,9027.62,True,4.0,89.0,C,72.0,9.0,800595.29,90467.64,88.69995351,96.28,374.9,147.29,2010.0,,,
58.0,Himalaya Petro Products,-13.6908547,71.4223,454.96,372.59,24.72,18.06,3462.84,True,10.0,78.0,D,35.0,80.0,744414.56,387687.67,47.92046115,627.08,449.72,963.88,1914.0,,,
59.0,Petrochem India,6.4675486,78.3606,457.08,911.67,29.97,18.31,9818.35,False,2.0,67.0,F,62.0,45.0,853810.31,327306.55,61.66519118,166.08,47.37,390.29,1943.0,,,
60.0,IndianPoly Industries,43.8485035,75.9117,170.52,438.85,59.62,38.88,1922.45,True,8.0,66.0,C,87.0,28.0,202140.84,616784.68,-205.126208,320.29,395.72,330.69,1903.0,,,
61.0,Himalaya Petro Products,-3.0040574,95.4325,50.29,241.13,20.06,63.24,2126.63,False,8.0,6.0,A,47.0,11.0,816444.08,626569.21,23.25632271,47.11,390.79,737.39,1940.0,,,
62.0,Ganges Petrochemicals,28.0896014,79.5466,857.06,37.32,70.04,62.41,3295.96,False,8.0,83.0,D,93.0,59.0,301251.84,564869.17,-87.5072929,753.17,356.03,475.77,1989.0,,,
63.0,Himalaya Petro Products,49.8881618,68.1571,241.83,587.96,16.29,83.29,7655.77,True,4.0,97.0,F,19.0,79.0,338578.92,395320.12,-16.75863341,745.18,527.44,381.74,1937.0,,,
64.0,Petrochem India,27.0522919,79.3859,574.68,64.55,54.39,31.94,9271.79,True,7.0,47.0,C,77.0,59.0,931327.75,221539.91,76.21246548,910.8,12.91,657.48,2021.0,,,
65.0,BharatChem Corporation,2.028983,82.8997,299.46,436.79,29.86,99.96,4322.77,False,6.0,35.0,D,85.0,25.0,704739.43,376537.06,46.57074034,174.39,184.16,844.61,1902.0,,,
66.0,Ganges Petrochemicals,40.211932,70.9938,629.14,710.45,65.33,74.09,6474.41,False,0.0,29.0,C,41.0,18.0,129853.43,951416.2,-632.6846892,717.18,211.63,775.64,1908.0,,,
67.0,Ganges Petrochemicals,0.9996757,79.6928,501.04,143.29,32.42,64.01,3331.77,True,6.0,76.0,A,97.0,41.0,45333.72,937385.14,-1967.743702,50.07,522.96,418.02,1931.0,,,
68.0,Petrochem India,-3.3419323,90.7494,511.65,676.72,15.29,81.67,7594.31,False,7.0,79.0,F,42.0,46.0,230557.41,675913.12,-193.1647784,509.2,376.27,96.45,1995.0,,,
69.0,Ganges Petrochemicals,56.5023602,71.086,336.67,608.66,42.56,23.74,6153.14,False,10.0,38.0,B,62.0,72.0,595252.85,939150.94,-57.77344703,996.82,585.22,149.75,2021.0,,,
70.0,BharatChem Corporation,26.489902,91.1923,122.23,67.22,55.82,17.66,6930.48,False,1.0,93.0,C,13.0,67.0,190818.6,854755.16,-347.9412175,774.26,368.71,223.37,1971.0,,,
71.0,Petrochem India,26.641315,72.1564,870.58,599.81,88.51,21.68,2833.06,True,8.0,88.0,D,42.0,65.0,203623.07,101439.43,50.18274206,40.99,372.27,382.19,2007.0,,,
72.0,Himalaya Petro Products,-9.8975064,87.2593,343.67,959.85,5.51,40.71,8466.98,False,3.0,4.0,D,11.0,68.0,598545.4,891644.37,-48.96854441,965.51,361.32,425.24,1944.0,,,
73.0,IndianPoly Industries,57.7197857,71.0516,507.56,712.7,23.19,63.03,262.97,True,1.0,45.0,D,15.0,86.0,308277.3,892001.61,-189.350403,939.29,196.49,20.81,2002.0,,,
74.0,Himalaya Petro Products,34.0953553,71.4095,653.56,747.27,65.32,38.25,3874.39,False,6.0,92.0,C,84.0,84.0,432573.41,132271.46,69.42219356,374.92,140.77,258.69,1931.0,,,
75.0,Ganges Petrochemicals,1.1287179,87.0859,560.42,293.76,32.91,46.33,8802.64,True,5.0,74.0,A,75.0,67.0,750317.27,556940.74,25.77263482,321.59,316.31,35.79,1990.0,,,
76.0,IndianPoly Industries,33.083093,80.8453,875.07,290.54,68.03,2.48,2065.27,True,7.0,63.0,C,78.0,61.0,537331.26,663537.47,-23.48759869,524.04,326.04,697.54,1911.0,,,
77.0,Ganges Petrochemicals,7.7896079,71.3489,491.86,4.19,11.41,75.27,1073.45,True,4.0,0.0,D,66.0,93.0,411490.37,867720.86,-110.8727016,254.95,343.98,190.49,2007.0,,,
78.0,Himalaya Petro Products,35.47,69.2107,414.06,786.3,93.56,91.86,3997.29,True,6.0,76.0,C,10.0,13.0,315769.47,661438.83,-109.4688983,807.44,695.18,921.7,1943.0,,,
79.0,BharatChem Corporation,15.6452543,95.7534,673.66,7.0,69.37,73.57,2080.16,True,6.0,89.0,B,100.0,22.0,11370.44,548771.09,-4726.295992,133.77,778.17,500.35,2005.0,,,
80.0,Petrochem India,36.3681952,80.0622,283.23,869.63,94.61,3.49,4645.91,False,7.0,87.0,F,67.0,16.0,692009.21,144267.9,79.15231504,100.47,965.72,117.42,1996.0,,,
81.0,Ganges Petrochemicals,-27.4955748,93.4398,516.51,434.48,14.27,14.63,3621.43,True,1.0,52.0,D,54.0,99.0,143758.08,18773.6,86.94083839,350.11,247.75,395.23,2003.0,,,
82.0,BharatChem Corporation,57.7577156,70.2626,914.89,2.89,94.68,54.17,1307.72,False,0.0,68.0,B,23.0,48.0,268353.39,364209.11,-35.71995867,801.86,546.68,951.5,1957.0,,,
83.0,Petrochem India,33.13782,88.2092,714.32,149.77,63.72,47.01,3450.19,False,10.0,31.0,B,34.0,46.0,827188.97,881515.92,-6.567658899,314.31,808.34,546.95,2008.0,,,
84.0,Himalaya Petro Products,21.955472,86.9591,596.51,624.34,1.59,66.92,6244.6,True,10.0,81.0,C,74.0,46.0,223272.09,295883.39,-32.52144054,952.14,147.06,109.91,1919.0,,,
85.0,BharatChem Corporation,25.689215,83.7735,112.94,131.41,52.49,56.78,6930.63,False,5.0,87.0,B,69.0,75.0,568895.41,145571.73,74.41151265,902.37,758.17,430.33,1931.0,,,
86.0,Himalaya Petro Products,21.0556654,72.2483,391.18,536.56,5.2,0.22,3224.29,False,8.0,58.0,D,64.0,50.0,7482.54,695522.64,-9195.274599,613.82,873.21,182.28,1957.0,,,
87.0,Ganges Petrochemicals,-8.8567,93.592,916.76,842.69,28.11,61.57,8654.33,False,9.0,10.0,C,73.0,49.0,369042.0,943917.37,-155.7750527,216.99,220.38,344.41,1928.0,,,
88.0,Ganges Petrochemicals,-7.3862,74.96,869.04,128.24,14.76,50.41,5335.85,True,10.0,96.0,D,17.0,68.0,461978.49,20040.75,95.66197335,960.92,357.93,743.34,1916.0,,,
89.0,IndianPoly Industries,9.3507596,71.3635,644.58,581.26,83.41,75.87,9563.15,True,4.0,77.0,F,30.0,35.0,572945.05,416931.49,27.23010872,531.27,396.44,862.29,1956.0,,,
90.0,Himalaya Petro Products,36.7683527,75.0567,482.71,874.72,79.36,19.86,1160.91,False,10.0,86.0,D,60.0,35.0,326475.69,826413.6,-153.1317416,450.36,227.8,272.28,1999.0,,,
91.0,Petrochem India,41.551649,79.8888,525.58,104.05,33.07,98.94,3812.96,True,1.0,33.0,B,27.0,56.0,689327.55,802765.35,-16.45629861,235.84,406.55,888.6,1920.0,,,
92.0,IndianPoly Industries,5.7098271,93.6086,766.69,695.39,92.46,40.31,202.07,False,1.0,3.0,D,74.0,43.0,674202.9,257468.43,61.81143243,597.62,286.18,22.29,1949.0,,,
93.0,IndianPoly Industries,30.1902447,82.0237,571.49,312.79,70.48,53.68,2276.4,False,3.0,88.0,D,78.0,41.0,643357.67,75269.54,88.30051408,406.04,210.2,124.25,2009.0,,,
94.0,Ganges Petrochemicals,40.8288144,72.8123,292.12,984.11,81.02,48.73,7111.46,False,2.0,18.0,A,78.0,62.0,319422.99,567917.86,-77.79492328,992.14,471.86,687.66,1945.0,,,
95.0,Himalaya Petro Products,-19.2443226,80.6293,396.57,917.64,56.33,80.93,3082.97,True,0.0,100.0,D,25.0,35.0,21482.26,756402.11,-3421.054628,508.64,57.39,619.32,1972.0,,,
96.0,Petrochem India,49.6404353,82.8044,388.5,966.26,20.42,58.93,9980.48,True,3.0,84.0,B,87.0,32.0,782178.96,261081.73,66.62122822,650.7,478.23,126.5,1963.0,,,
97.0,IndianPoly Industries,13.5733993,71.6344,328.56,381.71,44.21,78.65,2383.5,True,6.0,19.0,B,23.0,63.0,299395.05,746696.4,-149.4017186,381.66,946.97,171.65,1904.0,,,
98.0,Himalaya Petro Products,8.7531549,84.7831,199.48,119.98,42.2,53.87,8787.5,True,9.0,31.0,D,97.0,73.0,142227.28,357071.02,-151.0566327,30.41,938.81,123.83,1907.0,,,
99.0,Himalaya Petro Products,50.8598323,88.4407,123.64,954.44,60.54,66.65,9520.86,False,6.0,99.0,F,73.0,77.0,640512.73,746403.51,-16.53218977,419.65,516.7,201.71,1910.0,,,
100.0,Petrochem India,62.5854497,71.1991,597.44,17.79,81.47,38.57,3605.69,False,5.0,78.0,F,12.0,77.0,386657.14,759274.21,-96.36885795,503.47,66.95,159.48,1988.0,,,
101.0,BharatChem Corporation,29.932442,82.9975,826.27,998.32,51.67,91.41,8669.15,False,5.0,17.0,F,25.0,18.0,560519.19,195523.14,65.11749401,899.89,581.24,579.3,1969.0,,,
102.0,IndianPoly Industries,22.543096,80.6572,109.54,366.29,15.54,45.5,6889.65,False,1.0,29.0,C,44.0,34.0,49942.42,380024.47,-660.9252215,610.39,307.72,620.77,1938.0,,,
103.0,Petrochem India,47.2215999,73.2618,693.36,486.91,34.89,31.91,277.96,True,0.0,50.0,B,92.0,6.0,408656.21,802793.26,-96.44709669,755.44,179.45,845.25,1920.0,,,
104.0,IndianPoly Industries,31.678719,71.463,481.39,391.25,51.94,26.56,1410.68,False,4.0,77.0,A,78.0,81.0,45974.82,489686.41,-965.1187106,714.37,898.41,105.6,1969.0,,,
105.0,IndianPoly Industries,41.5106099,91.6543,827.58,610.48,94.12,66.79,8137.46,False,6.0,90.0,C,93.0,64.0,722058.7,667327.36,7.579901745,869.37,701.79,340.27,2002.0,,,
106.0,Ganges Petrochemicals,-12.1880654,80.4752,516.19,98.08,59.27,49.3,5424.32,False,8.0,61.0,D,45.0,96.0,789366.23,107308.71,86.4057131,930.47,125.42,784.12,1970.0,,,
107.0,IndianPoly Industries,34.3020001,94.0058,881.54,893.08,12.73,8.03,8054.55,False,7.0,92.0,C,96.0,77.0,761681.59,433814.72,43.04513517,585.06,664.05,242.53,2012.0,,,
108.0,Himalaya Petro Products,41.6183527,76.5397,766.38,467.67,12.18,63.2,709.57,False,8.0,17.0,B,20.0,38.0,811564.52,852311.1,-5.020744377,100.32,597.94,448.18,1976.0,,,
109.0,BharatChem Corporation,32.7778898,77.2799,80.17,503.46,40.75,24.64,3970.83,False,10.0,14.0,C,34.0,0.0,186560.3,588225.84,-215.3006508,744.32,285.9,706.44,2014.0,,,
110.0,IndianPoly Industries,49.7180346,86.3026,167.32,34.29,60.67,96.72,5261.02,False,0.0,58.0,B,25.0,57.0,53574.26,841308.46,-1470.35946,724.96,825.25,232.45,1972.0,,,
111.0,Himalaya Petro Products,35.8939566,81.2744,168.82,356.37,90.33,33.47,5221.75,True,2.0,4.0,D,84.0,83.0,137873.34,502308.09,-264.3257572,615.93,479.53,286.98,2009.0,,,
112.0,BharatChem Corporation,-2.8670033,96.2226,124.37,731.11,52.93,70.34,5528.96,True,6.0,94.0,A,46.0,35.0,667782.17,185103.51,72.2808547,4.09,563.24,795.71,1940.0,,,
113.0,IndianPoly Industries,49.68351,83.7434,961.03,888.29,39.82,47.28,6315.42,False,3.0,66.0,F,41.0,74.0,601188.53,177800.49,70.42516929,385.54,289.07,238.01,1944.0,,,
114.0,Himalaya Petro Products,-4.6,80.4692,799.01,515.86,6.54,70.76,8441.02,False,9.0,83.0,F,83.0,16.0,633448.38,146368.46,76.8933879,434.85,222.85,633.36,2022.0,,,
115.0,Himalaya Petro Products,35.888861,75.5194,599.44,767.79,79.3,33.6,1232.15,True,3.0,31.0,B,25.0,63.0,322365.32,123435.74,61.70936129,742.94,404.73,423.82,1950.0,,,
116.0,Petrochem India,-7.1570833,75.5379,159.8,385.03,9.42,19.79,6811.95,True,6.0,30.0,A,38.0,19.0,288447.64,780065.14,-170.4356118,590.97,164.81,636.62,2009.0,,,
117.0,BharatChem Corporation,34.64921,95.0458,788.81,488.43,15.9,72.43,8475.73,True,8.0,56.0,B,43.0,34.0,632479.98,432785.95,31.57317802,500.03,998.54,51.66,1921.0,,,
118.0,Himalaya Petro Products,49.9731106,81.8847,284.16,467.06,1.49,69.7,1520.94,True,4.0,58.0,C,95.0,90.0,721216.65,585038.93,18.88166614,215.68,928.37,123.29,1952.0,,,
119.0,Himalaya Petro Products,38.8802788,73.4156,608.47,941.84,60.66,20.72,6295.26,True,6.0,51.0,B,67.0,7.0,77497.2,323390.02,-317.2925215,979.67,85.51,890.06,1937.0,,,
120.0,Ganges Petrochemicals,-31.82451,95.8857,780.56,795.53,42.56,88.76,2080.56,True,1.0,91.0,D,1.0,34.0,46243.67,492361.33,-964.7107593,158.59,930.65,19.11,1994.0,,,
121.0,IndianPoly Industries,-8.2319193,70.12,166.47,490.35,95.55,23.49,2697.99,True,9.0,46.0,D,52.0,22.0,915582.08,633216.39,30.84001928,449.06,682.05,234.44,1958.0,,,
122.0,BharatChem Corporation,34.0319016,85.176,10.78,150.38,56.97,72.15,6346.14,False,2.0,60.0,F,68.0,47.0,715744.42,996912.41,-39.28329473,112.16,900.64,555.36,1981.0,,,
123.0,IndianPoly Industries,39.7024946,84.6948,126.58,817.61,89.34,27.79,4327.39,True,8.0,95.0,D,63.0,17.0,285246.65,183429.17,35.69454015,792.94,796.25,937.84,1947.0,,,
124.0,Ganges Petrochemicals,58.1483629,71.1057,368.51,50.77,30.61,17.3,1348.14,True,4.0,7.0,D,40.0,37.0,866976.39,958129.66,-10.51392761,504.9,624.57,989.1,1969.0,,,
125.0,BharatChem Corporation,5.6111498,73.5513,439.25,929.54,91.74,46.43,8598.05,False,10.0,10.0,C,45.0,55.0,981651.55,443535.96,54.81737282,466.15,615.54,679.87,1976.0,,,
126.0,BharatChem Corporation,-6.4146234,74.1651,597.8,987.69,46.86,7.43,7405.73,False,10.0,89.0,B,20.0,30.0,449999.62,118840.51,73.59097548,383.71,280.76,912.34,1988.0,,,
127.0,Petrochem India,64.7633191,90.6803,790.01,929.93,45.19,4.04,1996.28,True,2.0,24.0,B,56.0,7.0,585508.08,613972.6,-4.861507633,529.82,274.89,677.56,1981.0,,,
128.0,IndianPoly Industries,41.7579896,89.6163,950.24,947.75,25.61,58.4,7999.13,True,1.0,70.0,F,9.0,91.0,825377.47,735419.01,10.899069,568.01,230.88,930.51,1984.0,,,
129.0,Petrochem India,13.4326204,74.0079,851.89,197.98,70.23,9.77,6806.08,True,3.0,34.0,A,53.0,5.0,232960.53,51150.75,78.04316894,45.25,225.83,906.65,1925.0,,,
130.0,IndianPoly Industries,59.0762558,84.7717,917.26,794.46,36.46,96.49,145.01,True,1.0,47.0,C,83.0,69.0,627352.21,267541.94,57.35379015,868.01,811.53,339.9,1935.0,,,
131.0,BharatChem Corporation,50.111779,82.9348,679.76,451.42,61.69,35.81,6708.62,False,3.0,77.0,A,11.0,39.0,808484.57,402370.64,50.2315004,63.54,878.67,960.3,1972.0,,,
132.0,Ganges Petrochemicals,14.5655902,87.4304,640.01,907.04,35.12,93.75,8445.46,False,4.0,57.0,C,37.0,71.0,60568.86,767432.99,-1167.042157,943.36,184.84,649.74,2010.0,,,
133.0,Ganges Petrochemicals,38.4664687,94.2746,928.32,184.62,70.19,34.24,1477.5,False,2.0,56.0,D,79.0,17.0,38462.59,760442.5,-1877.096446,588.04,851.21,381.95,1933.0,,,
